,Product,Consumer_complaint_narrative,category_id
127,Credit card or prepaid card,In XX/XX/2019 I received a phone call from XXXX XXXX stating she is going to handle my case from XXXX XXXX. She told me that and hung up. I didnt ask her anything or go into depth about anything. I received a letter today dated XX/XX/XXXX thanking me for speaking with her and that I requested for my card to be reopened. Neither are true and she lied about a letter being sent to me. XXXX wrote a letter that was basically a lie. She called to inform me she was taking the case and hung up! Nothing else was said or asked.,2
128,"Credit reporting, credit repair services, or other personal consumer reports","As a consumer, I would like to dispute the following unauthorized accounts reporting on my credit report, some inwhich I've disputed before but did not get the results in reference to my disputes. Having your identity compromised is a nightmare in itself but even more disturbing when you report it and the major 3 credit agencies either ignore you, or do not follow the law of the FCRA. I would like to know exactly what Method did you and your employees used in order to verify these unauthorized accounts inwhich lead back to me. The accounts inwhich I'm requesting the Method of verification for or as following, ( A ) XXXX XXXX {$680.00} ( B ) XXXX XXXX XXXX {$140.00} ( C ) XXXX {$72.00} ( D )  XXXX XXXX {$690.00} ( E ) XXXX XXXX {$630.00} ( F ) XXXX XXXX XXXX {$960.00} ( G ) XXXX XXXX XXXX  {$670.00} ( H ) XXXX XXXX XXXX {$71.00} ( I ) XXXX XXXX XXXX {$30.00} ( J ) XXXX XXXX XXXX {$5500.00} ( K ) XXXX XXXX {$2800.00} ( L ) XXXX XXXX XXXX {$1700.00} ( M ) XXXX XXXX XXXX {$0.00} ( N ) XXXX XXXX XXXX {$130.00} ( O ) XXXX XXXX XXXX {$0.00} All the above accounts shall be followed with documentation of the Method of verification used and sent to me or as stated in the FCRA laws these accounts shall be blocked, removed, and/ deleted immediately.",1
130,"Credit reporting, credit repair services, or other personal consumer reports","I went into Check into Cash to obtain a loan that I had been to before. 
The following month, I noticed that the company did a hard credit check / inquiry. I contacted them and they informed me that they started doing them the month I came in. I explained that I was not told at the time I was in, nor was there any information regarding this in the store. They told me to call corporate. 
I called corporate, and they told me that they indeed did start doing them the month I came in. They also stated that there should have been placards in the store mentioning this and that it was in the fine print of what I had signed. I told them that there were no placards relative to this in the store and that I was not told of this change. They again, referred to the mention of it in the fine print. 
I had read near all of the extremely lengthy contract in the past before there was this change. Had I known or had they told me or had the placard up for me to read, I would have opted for another business nearby to do business with. This was explained, but they simply have no interest in my credit, the impact this has caused, or the desire to remove the inquiry that I did not authorize and was not made aware of them doing should I do business with them. I know in the end, it's the consumer 's responsibility to read everything. But, like I had said, I did previously. It should be their responsibility to inform clients of any changes or addendums they make. 
I simply want this inquiry removed. It not only impacted my credit score, but looks bad having done business with this type of company to future creditors.",1
131,"Credit reporting, credit repair services, or other personal consumer reports",On XX/XX/XXXX and XX/XX/XXXX I filed a proper dispute about XXXX XXXX XXXX with Experian with account number XXXX and contacted XXXX XXXX XXXX with a dispute with request for Validation on this unknown account. I sent certified mail to XXXX XXXX XXXX twice on XX/XX/XXXX and XX/XX/XXXX to VALIDATE which they never response to this unknown account. XXXX properly investigated and deleted off my credit report on XX/XX/XXXX. Experian refusal to properly investigate or properly mark this account as in dispute as is in  violation FCRA and FACTA. I included a copy of this unknown account being deleted off my XXXX   credit report and a copy certified mail to XXXX XXXX XXXX. Experian concluded that the monthly payment and balance is accurate and verified when I did dispute. Clearly its incorrect because a auto car loan can not have a monthly payment of {$0.00}. They verified that the balance of {$15000.00} is accurate. They also verified that I pay {$8000.00} on this account on XX/XX/XXXX. So if I paid {$8000.00} on this account why is the balance is {$15000.00} when Experian verified that {$20000.00} was written off? Which under FCRA is inaccurate and must be DELETED because the balance and monthly payment is is reporting inaccurately. FCRA states to put on a Consumer report everything must be 100 % accurate and correct!!!,1
132,Checking or savings account,I have Bank of America debit card.I travelled to XXXX on XX/XX/XXXX and returned back to USA on XX/XX/XXXX. I have been using by debit card in XXXX  ( informed bank before travel about that and took permission ) for which i was also charged international transaction fee. I was carrying the card with me and my details are not stored any where. But during the period i was in XXXX  there was ATM with-drawl from my account o XX/XX/XXXX of amount {$400.00} ( two times ) .I did not receive text message as i my USA number wont work in XXXX  . And again when i came back to USA there was two more transactions of {$500.00} on XX/XX/XXXX and reported immediately that it was not authorized.So total amount of {$1800.00}. I reported to bank and i told them i don't have any cards which even they know because they never provided or i never requested them to. They processed my complaint and they are saying that it is authorized charges. I have a proof of iteanrry that i travelled and bank transactions that i was using my card in XXXX  to prove that this ATM with-drawl is fraud and not authorized. Please help me to get back my funds.,7
135,"Credit reporting, credit repair services, or other personal consumer reports","This is my second complaint in only 1 day against TransUnion. I had 36 mistakes just this year in my file with TransUnion and I called so many times, they regularary hung up on me because they don't care. 

This time is that on XX/XX/XXXX, finally my score went up 69 points because I paid my credit cards. I did not know, being immigrant from XXXX, that in the USA, you should not spend more than 20 % of the amount of your credit cards limit. What's the point - it is so stupid. If you have an emergency, let 's say the dentist, you pay with your credit card, and it was not enough to be in pain because of a tooth, that you need to lose point from your credit score. - Where is the logic. 

In any event, I increased 69 points, but on XX/XX/2019, I lost 79 points for no reason that I can see, I did not spend on credit cards, I did not have a new debts. I called a supervisor in the USA, he did not give me his name, he told me that the reason is that I had two ACCOUNTS, yes two ACCOUNTS and they were merged and my score decreased of 79 points. I was fuming, how it is possible to have two accounts, it's not a bank account, it's my credit score linked with what? my Social Security Number. And as everyone else I have only one SSN.

He told me that, of course, there's nothing else to do and he put an end at the conversation and hung up.

If it's the case, that means that TransUnion only as Reporting Agency merged my XXXX Social Security Number with the USA ones. This is not acceptable, both countries has different laws and Credit Bureaus in XXXX are not important at all, certainly not like in the USA. By law in XXXX, our SSN can not be disclose easily, so if TransUnion used my SSN from XXXX, they are in an illegal position with XXXX. There's always a disclosure in XXXX on that card saying that this number and card belong exclusively to the Government. In any event, XXXX and USA are two different countries and totally two different court systems and different laws. Again it is only TransUnion who does that kind of thing, always trying to destyroy someone aggressively, but always pretending to report only.",1
137,"Credit reporting, credit repair services, or other personal consumer reports","AFTER REVIEWING MY CREDIT REPORT I DISCOVERED A FEW INACCURATE ACCOUNTS ON MY FILE. THE DISPUTED ACCOUNTS DOES NOT BELONG TO ME, THOSE ACCOUNTS WERE INACCURATELY PLACED ON MY CREDIT, PLEASE CONDUCT AN INVESTIGATION FOR THOSE DEROGATORY MARKS FOR THEY HAVE CAUSED SERIOUS DAMAGE ON MY CREDIT.",1
139,Debt collection,"On XX/XX/2020, I emailed the following to XXXX  XXXX : "" Good morning, Due to the recent economic downturn as well as being laid off yesterday, I am unable to pay my account in full. What options are available to me? 
Thank you, XXXX XXXX '' To date I have received no reply to my email.",6
140,Checking or savings account,"I received a settlement check from a wrongful death suit involving my mother and the approximate total of the check was {$130000.00} on XX/XX/XXXX. According to the Wells Fargo bank statement of XX/XX/XXXX, a deposit, of {$130000.00} was made into my Wells Fargo Access Fifty checking account. I spoke with a Financial Counselor representative at the bank that asked how did I come to have such a large check. I explained about the settlement. I only wanted to put that money in my personal checking account. I was told that I needed to open a savings overdraft protection account to avoid monthly fees and charges. I believed that was a separate account. This money was never deposited or linked to the overdraft savings account. Both accounts were online banking accounts of which I did not have access to a computer ; therefore, I was unable to check the accounts. No paper statements were sent to me. On XXXX XXXX, a withdrawal made in a Branch/store of {$36000.00} was made. I did not withdraw this money. On XXXX XXXX, a withdrawal made in a Branch/store of {$75000.00} was made. I did not withdraw this money. On XXXX XXXX, a withdrawal made in a Branch/store of XXXX was made. I did not withdraw this money. 
In XX/XX/XXXX, I was inquiring about a line of credit with Wells Fargo. The bank manager said I had to have a substantial amount of money in the bank for a line of credit. I said I do. She asked what account? I told her it was in my overdraft account. She said, What money in an overdraft account? I told her I put money in an overdraft saving account in XXXX. She said that their bank records do not go back that far, their retention period is only 7 years. However, she began to find and printed out an access fifty checking bank statement from XXXX XXXX XXXX. It verified a check totaling {$130000.00} was deposited on XXXX XXXX. Its showed a withdrawal of {$36000.00} on XX/XX/XXXX, {$75000.00} on XX/XX/XXXX and {$2500.00} on XX/XX/XXXX. The bank manager found several other accounts in my name of which I never opened or even knew about. I requested to see a signature page or signature of the withdrawal slip for those withdrawals. The bank manager said that information was not available since they only keep 7 years worth of information. I requested an investigation. She notified an escalation team of Wells Fargo. This team called me back in 5 days- they stated the retention policy was only 7 years and she could only find a bank statement starting with XX/XX/XXXX and no further information was available. I believe since the money can not be found or accounted for -identity theft, multiple accounts and a merger between Wachovia and Wells Fargo and Overdraft Protection Account, hid the removal of these monies.",7
144,"Credit reporting, credit repair services, or other personal consumer reports",THE DISPUTED ACCOUNT HAS APPEARED ON MY CREDIT REPORT WITHOUT MY KNOWLEDGE. I AM NOT LIABLE TO THE LISTED AND I AM REQUESTING FOR THE ACCOUNT TO BE COMPLETELY REMOVE OFF MY CREDIT.,1
149,Checking or savings account,"Small business ( checking and savings ) ( corporate account ) at Citibank was frozen on XX/XX/19 for XXXX  ( compliance issues ). Account has been open for over 10 years, no court order, or judgment or levy exists. I complied with all forms requested on XX/XX/19 - forms taken directly to a branch ; however as of XX/XX/19 all funds frozen. Auto pay to same bank for credit card payment was returned and {$25.00} charged. Rent, electric and other payments were returned, causing many extra fees and great embarrassment - landlord will no longer take a check for rent - electric company charged extra fees. 
XXXX XXXX, XXXX - corporate account - I am 100 % owner. 
Update - Branch refused cash payment on credit card.",7
150,Mortgage,"I purchased my home in XX/XX/2012. I have had nothing but hassles since that time. 
My husband is a XXXX XXXX and I applied for mortgage modification and nothing became of that except letters threatening foreclosure. They have often stated that they never received payments resulting in my having to cancel checks and late fees and more foreclosure letters. 
I have been sending my payments ( money orders ), certified/return receipt, directly to the HUD office. Then, I get another letter last week, another foreclosure letter stating that it was because of unpaid late fees. I can not control when the HUD office posts my payments. I should not have late fees. 
They have left notices on my door, taken pictures of my home and vehicles. I find this to be harassment. I would like to find another mortgage company, however, they have ruined my credit. I thought that these companies were supposed to help people stay in their homes, not threaten to take them away.",4
153,Debt collection,"I was a curent Section8 government program attend and in XX/XX/XXXX i  found a house for rent that accepted housing vouchers to provide a safe place for me and XXXX children payed on time as well as deposit, through out the whole time of lease with XXXX they failed to provide safe housing so after 2 years of heating issue, mold which i have XXXX   children my housing manager found the house unsafe and home went into abatement and i had to move the lease was terminated due to their part of not providing safe housing while on the program, they have threatened to sue me as well as garnish my wages, they have reported on my credit redeckless amounts that werent owed as well as a company that i never rented from ..My lease was with XXXX  and its reporting XXXX XXXX which i have neved leased with i have all proof and left owing nothing when the home went into abatement due to the repairs of the home I had to move because they have failed to provide safe housing which they knew before a accpeting a section 8 particpant rent paid by the goverment. I didnt recieve my deposit back and they are reporting i owe them which cant be true i have all recipets, documents and even the letter of abatement giving them 30 days to fix repairs and they failed they have just put my family through XXXX and now lying saying i rented from another company. Please help as im trying to but a home now off the Goverment program i had to relocate my kids which XXXX where XXXX right around XX/XX/XXXX.",6
154,Student loan,"My original lender was XXXX XXXX XXXX ; this loan was considered a private loan that my parents took out to pay for my college education. XXXX XXXX XXXX had switched servicers to XXXX XXXX. The original promissory note I have, shows my father as applicant # 1/borrower, my mother as applicant # 2/co-borrower, and myself as student. This loan originated in XX/XX/XXXX. My father and I share the same name and I feel that has added confusion. My father always made the payments on this loan, as well as, collected tax documents and deductions on this loan, as the borrower. In XX/XX/XXXX, my father passed away from XXXX. My mother contacted XXXX and she was told about loan forgiveness. She submitted my fathers death certificate and she waited 32 days for an answer. Unfortunately, they did not approve the loan for forgiveness. Instead, XXXX has switched me, from student, to borrower and my mother stays as co-borrower. How did I go from being a student on a promissory note, to now the sole borrower? I have called XXXX, and it has been unsuccessful. I have requested documents including the denial letter stating why the loan wasnt forgiven as a result of my father 's death, the promissory note they have on file, as well as the loan terms indicating that I am now legally responsible for this loan. I have had no success in retrieving these documents. I have been told that I am not entitled to these documents from XXXX and to contact XXXX XXXX XXXX for the promissory note. I was told by a XXXX representative that the promissory note they have on file is not legible and she couldnt confirm who was supposed to be borrower/co-borrower. I have contacted XXXX XXXX XXXX, for a copy of the promissory note, by email. I was told by XXXX XXXX XXXX that they do not have the promissory note and to refer to XXXX copy. I have responded to their initial email, requesting more information and they have not responded. There is no contact information for XXXX XXXX XXXX, just an email address. I am doubtful of the information I have been given. I feel I should be entitled to a copy of the denial letter, as well as a legible copy of the promissory note. I would also like to see a copy of the loan terms indicating how I went from being a student, to now the main borrower. I want documentation, and feel it is my consumer right, to have proof that XXXX has that ability to change borrowers and to choose who is made responsible. Though Im hopeful for your timely response and subsequent resolution of my issues, Im fully aware of the 'not-so-positive ' reviews/feedback given to XXXX XXXX and, therefore, will be prepared to submit additional complaints to the XXXX XXXX XXXX , and the Ohio Attorney General.",8
157,"Credit reporting, credit repair services, or other personal consumer reports","Dear CFPB, I tried to fix an abusive and incorrect information that Equifax and XXXX  XXXX XXXX is reporting the account ending in XXXX XXXXXXXX as Charge-off. Debt included in or discharged through Bankruptcy Chapter XXXX on XX/XX/XXXX. The limnit was XXXX, and highest balance was {$11000.00}. 
On Equifax I can see that : Balance {$11000.00} Credit Limit {$7500.00} Available Credit $ -XXXX ( How is possible to have negative availability when my dept wast discharged through Bankruptcy Chapter XXXX by Court of Law on XX/XX/XXXX? I never heard about that some/ or an institution to be above Law? 

The Equifax updated my report with the above account on XX/XX/XXXX as Charge-off. In my humble opinion I believe that are they trying to overrule a Federal Law and to reinstall an account that was closed many years ago and included in Bankruptcy. 

My Info Regarding Bankruptcy : US BKPT CT CA XXXX XXXX Bankruptcy chapter XXXX-discharged Original filing date : XX/XX/XXXX Latest status date : XX/XX/XXXX Account Info Reference Number XXXX Court US BKPT CT CA XXXX XXXX  Contact Info of : XXXX  XXXX XXXX XXXX XXXX, DE XXXX ( XXXX ) XXXX Equifax info : XXXX XXXX XXXX XXXX XXXX, DE XXXX ( XXXX ) XXXX I believe the above account was closed back in XXXX-XXXX and for sure the dept was included and discharged through Bankruptcy and any dept was dissolved and approved by Court of Law back on XX/XX/XXXX. By Law I owe {$0.00} to anyone and nothing negative should be reported as negative on my credit report. 

It's impossible that to have bad debt and to be placed for collection and updated on XX/XX/XXXX with a past due amount of {$11000.00} when the amount should be {$0.00}!",1
158,Debt collection,"I was sent a letter stating I owed a debt to a company named XXXX XXXX XXXX on or about XX/XX/2019. On or about XX/XX/2019 I responded asking Midwest Fidelity Services to verify the debt as I did not believe I owed any company named XXXX XXXX XXXX. On or about XX/XX/2019 I received correspondence back with a print out of a non-signed contract with my name typed in the signature line. On or about XX/XX/2019 I responded back to Midwest Fidelity stating that what they provided does not prove the debt exists, is valid, or was taken out by me. That again, my name was typed in the signature line, not signed, that the company XXXX XXXX XXXX lists a XXXX XXXX XXXX address and is not licensed to make loans in Tennessee, and that the amount of the loan had an APR of 434 % which is illegal under Tennessee law. I asked that the company remove any negative listings on my credit report but I logged in to check my credit report and they are listed. I checked the Tennessee database if Midwest Fidelity Services is licenses to collect debt in Tennessee and the website lists their application as pending. As such, they are trying to collect I do not owe, they can not provide any signed contract, and the loan that was allegedly made was done so by a foreign company in the XXXX XXXX XXXX who is not licensed to make loans in Tennessee and charging an illegal interest rate. It is also questionable that the company is trying to collect a debt in a state where their application is pending so they are not yet fully licensed to be engaging in this practice in Tennessee.",6
160,"Credit reporting, credit repair services, or other personal consumer reports","I have contacted the major credit bureau multiple times requesting an investigation to verify fraudulent account debt, as I asked who opened and signed for these accounts. I also ask them to remove these fraudulent accounts reporting in my consumer file that do not belong to me. They have not mailed me any results and have yet to contact me regarding this matter. They are not cooperating with me at all. The accounts listed below were opened in result of identity theft. It is hindering me from obtaining credit and I need this removed asap. The accounts are listed here below. XXXX XXXX : XXXX, XXXX XXXX : XXXX.",1
161,Debt collection,"I worked for XXXX from XX/XX/XXXX to XX/XX/XXXX. XXXX directly paid XXXX for my internet service at my resident. I never received any billing statement from XXXX. Everything was handled directly between XXXX and XXXX. 
I moved and ended my employment with XXXX on XX/XX/XXXX. I received a letter from XXXX XXXX dated XX/XX/XXXX to my new address attempting to collect {$120.00} for XXXX. I called XXXX on XX/XX/XXXX to resolve issue and they confirmed the account was XXXX corporate account. I also called XXXX XXXX to dispute my collection account. I finally received a letter from XXXX XXXX dated XX/XX/XXXX that they had reviewed account and resolved it. The letter stated "" Our office has reviewed the above-referenced account and we have made the decision to discontinue our collection efforts. Rest assured that no information regarding this account has been reported to the credit bureaus by this agency. '' I thought this issue was resolved and closed. 

However, recently, I checked my credit reports on XX/XX/XXXX and I noticed a collection account is on my file. It damaged my credit score and my credit history. I have disputed with all 3 credit agencies. XXXX and XXXX did not resolve my issue. I requested XXXX  3 times : 1 in XXXX, 1 in XXXX, and 1 in XXXX to send me my dispute result in writing but I still haven't received any in mail. XXXX sent me the investigation results. The letter stated that the Collection account from XXXX XXXX XXXX # XXXX. I never receive any letter or any notification from XXXX XXXX XXXX before. This is the first time I am aware of the collection account from XXXX XXXX XXXX for the same creditor XXXX is on my credit file. How many collection agencies out there attempting to collect the same account for XXXX? How can I dispute when I never receive any mail or notification from XXXX XXXX XXXX.? 
Please assist me to resolve this issue and make sure the collection account is removed from my credit file.",6
162,Credit card or prepaid card,"XX/XX/2019 I ordered a credit card from Capital One on or about XX/XX/2019. At the time I ordered the card I informed the customer service agent that I receive my Social Security check on the XXXX Wednesday of the month and I need to receive a hard copy of their bill prior to that date so that I may make a timely payment. I specifically requested a change of my billing date so that I would not receive late charges. I was informed that the change would be made within the next one or two billing cycles. Since that time the change was not made and I made six additional calls ( once a month ) trying to confirm the change was made. Each time the rep initiated a new order to make the change because it was not made. On the last two occasions I spoke to the customer service supervisor who affirmed the change was made. The last occasion was today when I spoke with XXXX # XXXX. She indicated there was no record on my account of any changes were ever ordered. That was surprising because the previous Supervisor who identified himself as XXXX had personally promised me that the change would be made. In the meantime, I have been paying a substantial amount on my bill right when I get my direct deposit at the end of each month. Even so, I am being charged a {$30.00} late fee for the last two months because their payment date has not been changed. Their response despite their neglect and indifference to my request is to say pay on your bill prior to the late date. Capital One policies are so inflexible that they refuse to waive more than one late charge regardless of when I receive my funds or their culpability. Capital one also does not have any method for filing a complaint about their methods. Capital One clearly discriminates against the elderly and fixed income people similarly placed as myself. I believe Capital One has treated me unfairly and lied to me multiple times about changing my due date. I request your organization investigate the matter and order Capital One to accept responsibility for their misconduct, refund my unwarranted late fees, and change their policies to account for the special circumstances of elderly and fixed income people. This company lies to its customers, does not document their actions, and is indifferent to the complaints of its customers. It should not be allowed to operate in such a manner. 
XXXX XXXX XXXX XXXX XXXX XXXX Capital One credit card number XXXX XXXX XXXX XXXX",2
163,"Credit reporting, credit repair services, or other personal consumer reports","To : Whom It May concern : I am writing to dispute a fraudulent charge on my account in the amount of {$4900.00}, {$1100.00}, {$5600.00}, {$150.00}. 
I am a victim of Identity theft, and I did not make or authorize this charge. I am requesting that the charge be removed, that any finance other charges related to the fraudulent amount be credited, as well and that I receive an accurate statement. This request is made pursuant to the Fair Credit Billing Acts amendments to the Truth in Lending Act, 15 U.S.C. 1666-1666b, 12 C.F.R 226.13. See Also 12 C.F.R 226.12 ( b ) I am writing to request the method of verification for dispute initiated on XX/XX/XXXX and the subsequent response received on XX/XX/XXXX enclosed with this letter. 
In accordance with FCRA, Section 611, I am requesting this information to review for completeness and accuracy and appropriateness. In lieu of sending the information you can reopen the dispute and ensure a proper investigation is performed. 
I would appreciate a timely response outlining the steps that will occur to resolve this matter. If I do not receive a response I will have no choice but to exercise my right under FRCA, Section 616, and pursue legal action. 

-- OPEN ACCOUNTS 1. XXXX XXXX XXXX with ACCT # XXXX opened on XX/XX/XXXX with a balance of {$4900.00} -This is not my account. 

2. XXXX with ACCT # XXXX opened on XX/XX/XXXX with a balance of {$1100.00} -This is not my account. 


-- CLOSED ACCOUNT 3. XXXX XXXX XXXX with ACCT # XXXX opened on XX/XX/XXXX with a balance of {$5600.00} -This is not my account. 


-- COLLECTION ACCOUNT 4. XXXX XXXX XXXX XXXX with ACCT # XXXX opened on XX/XX/XXXX with a balance of {$150.00} -This is not my account.",1
164,"Credit reporting, credit repair services, or other personal consumer reports","ATTN Collections Dept I am submitting a complaint in reference to this company knowingly reporting inaccurate data. My credit profile is affected by these penalties, preventing my creditworthiness, due to these companies. I demand proof of the purchasing agreement? Valid Authorization/ proof of alleged debt. Reporting without valid proper disclosure requirements are in direct violation of my consumer rights. I legally requested a description of the details of the verification process used to verify this alleged account. Federal law requires you to respond in thirty ( 30 ) days to failure to comply with these federal regulations by the FTC U.S C41, et esq. I am maintaining a careful record on my communication with your company. Thank you, I look forward to resolving this expeditiously",1
165,Credit card or prepaid card,"I was XXXX XXXX and while in this state my granddaughter ( my care take at the time ) opened and used this "" XXXX XXXX aka XXXX XXXX '' credit card. I appreciated her taking care of me when I was XXXX  unstable and did not want charges brought so When this came to my knowledge, and I was stable under physician care I notified the company and made an agreement with them to pay a set monthly payment on a set date with auto withdrawal from my checking account each month to assure that payment would be made on time and would be paid as agreed until the amount owed on charged was paid in full. Which according to the calculation at the time of the agreement with the XXXX representative, over the phone, would have been XX/XX/2018. Todate I received a bill from them for {$180.00} the account was to close upon payment in full so I believed it was closed, and I had stoppped payment authorization in XXXX after it was supposed to be paid in full as agreed. Advertisment would come from the XXXX card company but I would just throw out the letter I was not interested and believed it to be paid in full. 

When I called I learned that The XXXX  company had been deducting from checking the agreed amount and now charging me late fee of {$39.00} each month and when questioned why they said I paid late each month which is causing the account to continue to increase. The interest rate they are charging ontop of the Late fee is 27.2400 % My medication is helping my XXXX capacity but I had to have help in contacting your agency. 

My name is XXXX XXXX, I live at, XXXX XXXX XXXX, XXXX, Sc XXXX my helper is XXXX XXXX her phone number is XXXX. I am more than willing to have my physician send a letter as to my status should you require a letter. My home number is XXXX and I will verify that XXXX XXXX is helping me here in trying to get this matter resolved..",2
166,Debt collection,"Convergent Outsourcing, Inc. is a collection agency based out of XXXX, Washington. I have received multiple letters from Convergent whos creditor is XXXX XXXX XXXX XXXX The collection letter states that I owe a balance of {$3900.00} and that payment must be received in ( 60 ) days of the date of the letter. The attached letter is dated XXXX. The letter goes on to say that if I pay this collection, the client will cease further collection efforts. This is a scam and a completely unsubstantiated collection. I have not now, nor in the past, used XXXX. I do not have a XXXX account. This attempt to collect a debt I do not owe could cause serious issues with my credit reporting. I have contacted Convergent to resolve this matter however, I have not been successful. I respectfully request that an inquiry into Convergent be launched and any collection proceeding against me be stopped immediately.",6
169,"Credit reporting, credit repair services, or other personal consumer reports","XXXX XXXX {$590.00} & XXXX {$680.00} I challenge the accuracy, compliance and reportability of these listings. 
There is no valid claim ... accounts were settled with original creditors ( Debts can not be collected twice ) ... grave errorsfalse claims and reportingsI want these accounts removed immediately or litigation may follow Please validate this information and provide me with copies of any documentation associated with this account, bearing my signature. In the absence of any such documentation bearing my signature, I formally request that this information be immediately deleted from the credit file you maintain under my Social Security number.

Please note that you have 30 days to complete this investigation, as per the Fair Credit Reporting Act section 611 ( a ) ( 1 ) ( A ), and I am keeping careful record of your actions, including your Method of Verification. I do not consent to XXXX or any means of automated verification.

You must provide me a copy of ANY original documentation required under Section 609 ( a ) ( 1 ) ( A ) & Section 611 ( a ) ( 1 ) ( A ) ( a consumer contract with my signature on it ) and under Section 611 ( 5 ) ( A ) of the FCRA you are required to promptly DELETE all information which can not be verified.

Please be advised this is against F.C.R.A. law and is a violation of my rights..",1
170,Debt collection,"I received a call from I.Q Data in XXXX of XXXX about a debt owed for an apartment I used to rent in XXXX and moved out of in XXXX of XXXX. I received a letter from them that was sent out on XX/XX/XXXX stating I needed to pay {$330.00}. I called yesterday, XX/XX/XXXX when I came across the letter and tried to get a better understanding on the balance owed, especially 3 years later after moving out from the property. They could not give me any details about the balance and simply said it was for "" an appliance repair ''. I looked at my "" final walk through letter/form '' from the day I vacated the property and it didn't have a dollar figure of any appliance item being repaired. The only figures on the final move out certificate was {$90.00} for carpet cleaning & {$75.00} for 2 to 3 hour cleaning. I never received anything in the mail about this appliance repair with a balance owed and I definitely did not get my deposit back when I moved out from the property in XXXX of XXXX. So I am unsure as to why this is now being brought to my attention after 3 years. I made a payment yesterday, XX/XX/XXXX, of {$290.00}, as I was promised the debt would be removed from my credit report immediately. I am requesting an investigation if possible. Please help!",6
171,"Credit reporting, credit repair services, or other personal consumer reports","Today XX/XX/20 I noticed that there are 25 inquiries on my credit report that were not made by me. The reason I noticed these inquiries is because I went to XXXX  to apply for the XXXX XXXX XXXX and when they ran my credit, they told me I was not approved due to these inquiries lowering my overall credit score. I don't know who is responsible for making these inquiries but I did not allow anyone to do so using my personal information. I have already filed a police report and a complaint with the CFPB regarding this suspicious activity on my credit report.",1
